what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1330495789683
error,log,,,"Core exception while retrieving the content description",1330495789688
error,log,,,"Core exception while retrieving the content description",1330495789691
error,log,,,"Core exception while retrieving the content description",1330495789694
error,log,,,"Core exception while retrieving the content description",1330495789698
error,log,,,"Core exception while retrieving the content description",1330495802852
error,log,,,"Core exception while retrieving the content description",1330495802852
error,log,,,"Core exception while retrieving the content description",1330495802867
error,log,,,"Core exception while retrieving the content description",1330495802867
error,log,,,"Core exception while retrieving the content description",1330495802867
error,log,,,"Core exception while retrieving the content description",1330495802883
error,log,,,"Core exception while retrieving the content description",1330495802883
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802899
error,log,,,"Core exception while retrieving the content description",1330495802914
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1330495808561
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1330495808562
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1330495808574
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1330495808576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330495814016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330495815033
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1330495815051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330495815051
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1330495822926
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1330495833916
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1330495833985
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330495834044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1330495834499
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330495838867
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1330495839795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330495854761
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1330495855810
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1330495864014
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1330495864056
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1330495864062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330495864148
